iter	Passed	Remaining
0	5	534
1	10	524
2	16	525
3	21	519
4	27	517
5	33	517
6	38	514
7	44	507
8	49	504
9	55	497
10	61	493
11	66	487
12	71	481
13	92	567
14	97	553
15	103	541
16	108	529
17	112	514
18	117	500
19	121	487
20	126	474
21	130	463
22	135	453
23	141	446
24	145	435
25	149	425
26	154	416
27	158	407
28	162	398
29	167	391
30	172	383
31	176	374
32	180	366
33	185	359
34	189	352
35	194	345
36	198	338
37	203	331
38	207	324
39	211	317
40	216	311
41	220	304
42	225	298
43	229	292
44	234	286
45	238	279
46	242	273
47	247	267
48	252	262
49	256	256
50	261	251
51	266	245
52	270	240
53	275	234
54	280	229
55	284	223
56	288	217
57	293	212
58	297	206
59	302	201
60	306	195
61	310	190
62	315	185
63	319	179
64	324	174
65	328	169
66	332	163
67	337	158
68	341	153
69	345	148
70	349	142
71	354	137
72	359	132
73	363	127
74	369	123
75	374	118
76	379	113
77	384	108
78	390	103
79	395	98
80	399	93
81	404	88
82	409	83
83	413	78
84	419	73
85	424	69
86	429	64
87	434	59
88	438	54
89	443	49
90	448	44
91	468	40
92	478	35
93	486	31
94	494	26
95	499	20
96	503	15
97	508	10
98	513	5
99	517	0
